run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	instrument_platform	read_count	scientific_name
SRR24309158	SAMN34333361	1_99_M3-M4_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_32	Targeted-Capture	GENOMIC	ILLUMINA	1672858	Homo sapiens
SRR24309161	SAMN34333358	1_99_M3-F2_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_29	Targeted-Capture	GENOMIC	ILLUMINA	1976088	Homo sapiens
SRR24309163	SAMN34333356	1_79_F3-F2_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_27	Targeted-Capture	GENOMIC	ILLUMINA	1683941	Homo sapiens
SRR24309164	SAMN34333355	1_79_F2-F1_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_26	Targeted-Capture	GENOMIC	ILLUMINA	1262252	Homo sapiens
SRR24309165	SAMN34333354	1_79_M3-M4_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_25	Targeted-Capture	GENOMIC	ILLUMINA	1790681	Homo sapiens
SRR24309168	SAMN34333352	1_79_M3-F1_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_23	Targeted-Capture	GENOMIC	ILLUMINA	1843354	Homo sapiens
SRR24309175	SAMN34333345	1_39_M3-F1_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_16	Targeted-Capture	GENOMIC	ILLUMINA	1398643	Homo sapiens
SRR24309176	SAMN34333344	1_39_M3-F2_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_15	Targeted-Capture	GENOMIC	ILLUMINA	1308671	Homo sapiens
SRR24309177	SAMN34333343	1_19_F1-F3_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_14	Targeted-Capture	GENOMIC	ILLUMINA	1486119	Homo sapiens
SRR24309178	SAMN34333271	1_19_F2-M2_v1.bam	MIGS Eukaryotic sample from Homo sapiens	p_6	Targeted-Capture	GENOMIC	ILLUMINA	3298326	Homo sapiens
SRR24309180	SAMN34333341	1_19_F2-F1_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_12	Targeted-Capture	GENOMIC	ILLUMINA	1925657	Homo sapiens
SRR24309181	SAMN34333340	1_19_M3-M4_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_11	Targeted-Capture	GENOMIC	ILLUMINA	1944830	Homo sapiens
SRR24309182	SAMN34333339	1_19_M3-F3_v2.bam	MIGS Eukaryotic sample from Homo sapiens	t_10	Targeted-Capture	GENOMIC	ILLUMINA	1682682	Homo sapiens
