mixture	sample	host	donor	known_pct	mle_pct	mle_ci_lo	mle_ci_hi	presence_pct	presence_ci_lo	presence_ci_hi	presence_p	presence_markers	contamination_frac	n_used	mean_depth	gof_pval	qc	frac_pct	seed
mix_F1_into_F3	syn_F1-F3_f0.1_rep1	F1	F3	0.1000	0.0500	0.0200	0.1000	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1686	1.0000	PASS	0.1000	1
mix_F1_into_F3	syn_F1-F3_f0.1_rep2	F1	F3	0.1000	0.0400	0.0100	0.0900	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1686	1.0000	PASS	0.1000	2
mix_F1_into_F3	syn_F1-F3_f0.1_rep3	F1	F3	0.1000	0.0400	0.0000	0.0800	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1686	1.0000	PASS	0.1000	3
mix_F1_into_F3	syn_F1-F3_f0.1_rep4	F1	F3	0.1000	0.0500	0.0100	0.0900	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1686	1.0000	PASS	0.1000	4
mix_F1_into_F3	syn_F1-F3_f0.1_rep5	F1	F3	0.1000	0.0400	0.0000	0.0800	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1686	1.0000	PASS	0.1000	5
mix_F1_into_F3	syn_F1-F3_f0.2_rep1	F1	F3	0.2000	0.1500	0.1100	0.1900	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1688	1.0000	PASS	0.2000	1
mix_F1_into_F3	syn_F1-F3_f0.2_rep2	F1	F3	0.2000	0.1500	0.1100	0.1900	0.0000	0.0000	0.0000	1.0000	330	0.0020	501	1688	1.0000	PASS	0.2000	2
mix_F1_into_F3	syn_F1-F3_f0.2_rep3	F1	F3	0.2000	0.1400	0.1000	0.1900	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1688	1.0000	PASS	0.2000	3
mix_F1_into_F3	syn_F1-F3_f0.2_rep4	F1	F3	0.2000	0.1400	0.1000	0.1800	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1688	1.0000	PASS	0.2000	4
mix_F1_into_F3	syn_F1-F3_f0.2_rep5	F1	F3	0.2000	0.1300	0.0900	0.1700	0.0000	0.0000	0.0000	1.0000	330	0.0020	499	1688	1.0000	PASS	0.2000	5
mix_F1_into_F3	syn_F1-F3_f0.3_rep1	F1	F3	0.3000	0.2400	0.2000	0.2900	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1690	1.0000	PASS	0.3000	1
mix_F1_into_F3	syn_F1-F3_f0.3_rep2	F1	F3	0.3000	0.2500	0.2100	0.2900	0.0000	0.0000	0.0000	1.0000	330	0.0020	503	1690	1.0000	PASS	0.3000	2
mix_F1_into_F3	syn_F1-F3_f0.3_rep3	F1	F3	0.3000	0.2400	0.2000	0.2900	0.0000	0.0000	0.0000	1.0000	330	0.0020	498	1690	1.0000	PASS	0.3000	3
mix_F1_into_F3	syn_F1-F3_f0.3_rep4	F1	F3	0.3000	0.2400	0.2000	0.2800	0.0000	0.0000	0.0000	1.0000	330	0.0020	502	1690	1.0000	PASS	0.3000	4
mix_F1_into_F3	syn_F1-F3_f0.3_rep5	F1	F3	0.3000	0.2300	0.1900	0.2700	0.0000	0.0000	0.0000	1.0000	330	0.0020	499	1690	1.0000	PASS	0.3000	5
mix_F1_into_F3	syn_F1-F3_f0.4_rep1	F1	F3	0.4000	0.3400	0.3000	0.3900	0.0712	0.0448	0.0982	0.0000	330	0.0020	498	1692	1.0000	PASS	0.4000	1
mix_F1_into_F3	syn_F1-F3_f0.4_rep2	F1	F3	0.4000	0.3400	0.3000	0.3900	0.0608	0.0347	0.0876	0.0000	330	0.0020	505	1691	1.0000	PASS	0.4000	2
mix_F1_into_F3	syn_F1-F3_f0.4_rep3	F1	F3	0.4000	0.3400	0.2900	0.3900	0.0629	0.0368	0.0897	0.0000	330	0.0020	498	1691	1.0000	PASS	0.4000	3
mix_F1_into_F3	syn_F1-F3_f0.4_rep4	F1	F3	0.4000	0.3400	0.2900	0.3900	0.0650	0.0388	0.0920	0.0000	330	0.0020	503	1691	1.0000	PASS	0.4000	4
mix_F1_into_F3	syn_F1-F3_f0.4_rep5	F1	F3	0.4000	0.3200	0.2800	0.3700	0.0571	0.0310	0.0838	0.0000	330	0.0020	500	1691	1.0000	PASS	0.4000	5
mix_F1_into_F3	syn_F1-F3_f0.5_rep1	F1	F3	0.5000	0.4500	0.4000	0.5000	0.1688	0.1406	0.1978	0.0000	330	0.0020	498	1693	1.0000	PASS	0.5000	1
