mixture	sample	component	role	host_known_pct	known_pct	est_pct	ci_lo	ci_hi	seed	qc
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	F2	host	0.1000	0.1000	0.1000			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	M1	donor	0.1000	49.9500	49.7000	49.2200	49.8000	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	M2	donor	0.1000	49.9500	50.2000	49.7100	50.3000	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	F2	host	0.1000	0.1000	0.0000			1	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	1	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	1	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	F2	host	0.1000	0.1000	0.1100			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	M1	donor	0.1000	49.9500	49.6900	49.2100	49.8000	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	M2	donor	0.1000	49.9500	50.2000	49.7200	50.3100	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	F2	host	0.1000	0.1000	0.0000			2	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	2	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	2	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	F2	host	0.1000	0.1000	0.1100			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	M1	donor	0.1000	49.9500	49.6900	49.2000	49.8000	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	M2	donor	0.1000	49.9500	50.2000	49.7200	50.3100	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	F2	host	0.1000	0.1000	0.0000			3	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	3	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	3	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	F2	host	0.1000	0.1000	0.1100			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	M1	donor	0.1000	49.9500	49.6800	49.2000	49.7900	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	M2	donor	0.1000	49.9500	50.2100	49.7200	50.3200	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	F2	host	0.1000	0.1000	0.0000			4	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	4	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	4	REVIEW
