mixture	sample	host	donor	known_pct	mle_pct	mle_ci_lo	mle_ci_hi	presence_pct	presence_ci_lo	presence_ci_hi	presence_p	presence_markers	contamination_frac	n_used	mean_depth	gof_pval	qc	frac_pct	seed
mix_F1_into_F3	syn_F1-F3_f0.1_rep1	F1	F3	0.1000	0.0900	0.0500	0.1200	0.0000	0.0000	0.0000	1.0000	330	0.0020	494	1686	1.0000	PASS	0.1000	1
mix_F1_into_F3	syn_F1-F3_f0.1_rep2	F1	F3	0.1000	0.0700	0.0400	0.1100	0.0000	0.0000	0.0000	1.0000	330	0.0020	496	1686	1.0000	PASS	0.1000	2
mix_F1_into_F3	syn_F1-F3_f0.1_rep3	F1	F3	0.1000	0.0700	0.0400	0.1100	0.0000	0.0000	0.0000	1.0000	330	0.0020	496	1686	1.0000	PASS	0.1000	3
mix_F1_into_F3	syn_F1-F3_f0.1_rep4	F1	F3	0.1000	0.0800	0.0500	0.1200	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1686	1.0000	PASS	0.1000	4
mix_F1_into_F3	syn_F1-F3_f0.1_rep5	F1	F3	0.1000	0.0800	0.0500	0.1200	0.0000	0.0000	0.0000	1.0000	330	0.0020	496	1686	1.0000	PASS	0.1000	5
mix_F1_into_F3	syn_F1-F3_f0.2_rep1	F1	F3	0.2000	0.1800	0.1400	0.2100	0.0000	0.0000	0.0000	1.0000	330	0.0020	496	1688	1.0000	PASS	0.2000	1
mix_F1_into_F3	syn_F1-F3_f0.2_rep2	F1	F3	0.2000	0.1800	0.1400	0.2100	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1688	1.0000	PASS	0.2000	2
mix_F1_into_F3	syn_F1-F3_f0.2_rep3	F1	F3	0.2000	0.1700	0.1400	0.2200	0.0000	0.0000	0.0000	1.0000	330	0.0020	496	1688	1.0000	PASS	0.2000	3
mix_F1_into_F3	syn_F1-F3_f0.2_rep4	F1	F3	0.2000	0.1600	0.1300	0.2000	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1688	1.0000	PASS	0.2000	4
mix_F1_into_F3	syn_F1-F3_f0.2_rep5	F1	F3	0.2000	0.1600	0.1200	0.1900	0.0000	0.0000	0.0000	1.0000	330	0.0020	497	1688	1.0000	PASS	0.2000	5
mix_F1_into_F3	syn_F1-F3_f0.3_rep1	F1	F3	0.3000	0.2700	0.2300	0.3100	0.0410	0.0173	0.0655	0.0003	330	0.0020	497	1690	1.0000	PASS	0.3000	1
mix_F1_into_F3	syn_F1-F3_f0.3_rep2	F1	F3	0.3000	0.2700	0.2400	0.3200	0.0405	0.0170	0.0648	0.0003	330	0.0020	499	1690	1.0000	PASS	0.3000	2
mix_F1_into_F3	syn_F1-F3_f0.3_rep3	F1	F3	0.3000	0.2700	0.2300	0.3100	0.0363	0.0128	0.0606	0.0011	330	0.0020	497	1690	1.0000	PASS	0.3000	3
mix_F1_into_F3	syn_F1-F3_f0.3_rep4	F1	F3	0.3000	0.2600	0.2200	0.3000	0.0396	0.0159	0.0641	0.0005	330	0.0020	497	1690	1.0000	PASS	0.3000	4
mix_F1_into_F3	syn_F1-F3_f0.3_rep5	F1	F3	0.3000	0.2500	0.2200	0.2900	0.0312	0.0079	0.0554	0.0042	330	0.0020	498	1690	1.0000	PASS	0.3000	5
mix_F1_into_F3	syn_F1-F3_f0.4_rep1	F1	F3	0.4000	0.3600	0.3200	0.4100	0.1359	0.1100	0.1626	0.0000	330	0.0020	497	1692	1.0000	PASS	0.4000	1
mix_F1_into_F3	syn_F1-F3_f0.4_rep2	F1	F3	0.4000	0.3700	0.3300	0.4100	0.1313	0.1056	0.1577	0.0000	330	0.0020	503	1691	1.0000	PASS	0.4000	2
mix_F1_into_F3	syn_F1-F3_f0.4_rep3	F1	F3	0.4000	0.3600	0.3200	0.4100	0.1259	0.1002	0.1523	0.0000	330	0.0020	497	1691	1.0000	PASS	0.4000	3
mix_F1_into_F3	syn_F1-F3_f0.4_rep4	F1	F3	0.4000	0.3600	0.3200	0.4000	0.1329	0.1071	0.1595	0.0000	330	0.0020	503	1691	1.0000	PASS	0.4000	4
mix_F1_into_F3	syn_F1-F3_f0.4_rep5	F1	F3	0.4000	0.3500	0.3100	0.3900	0.1262	0.1006	0.1525	0.0000	330	0.0020	500	1691	1.0000	PASS	0.4000	5
mix_F1_into_F3	syn_F1-F3_f0.5_rep1	F1	F3	0.5000	0.4600	0.4200	0.5100	0.2363	0.2083	0.2649	0.0000	330	0.0020	495	1693	1.0000	PASS	0.5000	1
mix_F1_into_F3	syn_F1-F3_f0.5_rep2	F1	F3	0.5000	0.4700	0.4300	0.5100	0.2324	0.2047	0.2609	0.0000	330	0.0020	503	1693	1.0000	PASS	0.5000	2
mix_F1_into_F3	syn_F1-F3_f0.5_rep3	F1	F3	0.5000	0.4600	0.4100	0.5100	0.2246	0.1969	0.2530	0.0000	330	0.0020	502	1693	1.0000	PASS	0.5000	3
mix_F1_into_F3	syn_F1-F3_f0.5_rep4	F1	F3	0.5000	0.4600	0.4100	0.5000	0.2274	0.1996	0.2559	0.0000	330	0.0020	503	1693	1.0000	PASS	0.5000	4
mix_F1_into_F3	syn_F1-F3_f0.5_rep5	F1	F3	0.5000	0.4500	0.4100	0.5000	0.2265	0.1988	0.2549	0.0000	330	0.0020	500	1693	1.0000	PASS	0.5000	5
mix_F2_into_F1	syn_F2-F1_f0.1_rep1	F2	F1	0.1000	0.1300	0.0900	0.1700	0.0000	0.0000	0.0000	1.0000	362	0.0014	513	1842	1.0000	PASS	0.1000	1
mix_F2_into_F1	syn_F2-F1_f0.1_rep2	F2	F1	0.1000	0.1200	0.0900	0.1600	0.0000	0.0000	0.0000	1.0000	362	0.0014	514	1842	1.0000	PASS	0.1000	2
mix_F2_into_F1	syn_F2-F1_f0.1_rep3	F2	F1	0.1000	0.1300	0.0900	0.1700	0.0000	0.0000	0.0000	1.0000	362	0.0014	514	1842	1.0000	PASS	0.1000	3
mix_F2_into_F1	syn_F2-F1_f0.1_rep4	F2	F1	0.1000	0.1400	0.1000	0.1800	0.0000	0.0000	0.0000	1.0000	362	0.0014	516	1842	1.0000	PASS	0.1000	4
mix_F2_into_F1	syn_F2-F1_f0.1_rep5	F2	F1	0.1000	0.1200	0.0800	0.1600	0.0000	0.0000	0.0000	1.0000	362	0.0014	513	1842	1.0000	PASS	0.1000	5
mix_F2_into_F1	syn_F2-F1_f0.2_rep1	F2	F1	0.2000	0.2200	0.1800	0.2700	0.0236	0.0031	0.0448	0.0120	362	0.0014	515	1844	1.0000	PASS	0.2000	1
mix_F2_into_F1	syn_F2-F1_f0.2_rep2	F2	F1	0.2000	0.2100	0.1700	0.2500	0.0189	0.0000	0.0398	0.0335	362	0.0014	517	1843	1.0000	PASS	0.2000	2
mix_F2_into_F1	syn_F2-F1_f0.2_rep3	F2	F1	0.2000	0.2200	0.1800	0.2600	0.0260	0.0056	0.0471	0.0060	362	0.0014	516	1844	1.0000	PASS	0.2000	3
mix_F2_into_F1	syn_F2-F1_f0.2_rep4	F2	F1	0.2000	0.2300	0.2000	0.2800	0.0453	0.0246	0.0666	0.0000	362	0.0014	518	1844	1.0000	PASS	0.2000	4
mix_F2_into_F1	syn_F2-F1_f0.2_rep5	F2	F1	0.2000	0.2300	0.1900	0.2800	0.0413	0.0207	0.0625	0.0000	362	0.0014	514	1844	1.0000	PASS	0.2000	5
mix_F2_into_F1	syn_F2-F1_f0.3_rep1	F2	F1	0.3000	0.3200	0.2800	0.3700	0.1225	0.0998	0.1458	0.0000	362	0.0014	518	1845	1.0000	PASS	0.3000	1
mix_F2_into_F1	syn_F2-F1_f0.3_rep2	F2	F1	0.3000	0.3200	0.2800	0.3600	0.1241	0.1016	0.1473	0.0000	362	0.0014	519	1845	1.0000	PASS	0.3000	2
mix_F2_into_F1	syn_F2-F1_f0.3_rep3	F2	F1	0.3000	0.3200	0.2800	0.3700	0.1338	0.1111	0.1571	0.0000	362	0.0014	517	1846	1.0000	PASS	0.3000	3
mix_F2_into_F1	syn_F2-F1_f0.3_rep4	F2	F1	0.3000	0.3200	0.2800	0.3700	0.1335	0.1109	0.1567	0.0000	362	0.0014	520	1845	1.0000	PASS	0.3000	4
mix_F2_into_F1	syn_F2-F1_f0.3_rep5	F2	F1	0.3000	0.3300	0.2900	0.3800	0.1457	0.1229	0.1692	0.0000	362	0.0014	514	1846	1.0000	PASS	0.3000	5
mix_F2_into_F1	syn_F2-F1_f0.4_rep1	F2	F1	0.4000	0.4300	0.3800	0.4800	0.2297	0.2050	0.2550	0.0000	362	0.0014	518	1847	1.0000	PASS	0.4000	1
mix_F2_into_F1	syn_F2-F1_f0.4_rep2	F2	F1	0.4000	0.4200	0.3700	0.4600	0.2257	0.2012	0.2507	0.0000	362	0.0014	519	1847	1.0000	PASS	0.4000	2
mix_F2_into_F1	syn_F2-F1_f0.4_rep3	F2	F1	0.4000	0.4300	0.3900	0.4700	0.2398	0.2151	0.2652	0.0000	362	0.0014	517	1848	1.0000	PASS	0.4000	3
mix_F2_into_F1	syn_F2-F1_f0.4_rep4	F2	F1	0.4000	0.4200	0.3800	0.4700	0.2397	0.2150	0.2650	0.0000	362	0.0014	520	1847	1.0000	PASS	0.4000	4
mix_F2_into_F1	syn_F2-F1_f0.4_rep5	F2	F1	0.4000	0.4400	0.3900	0.4900	0.2471	0.2223	0.2725	0.0000	362	0.0014	518	1847	1.0000	PASS	0.4000	5
mix_F2_into_F1	syn_F2-F1_f0.5_rep1	F2	F1	0.5000	0.5300	0.4900	0.5800	0.3331	0.3066	0.3601	0.0000	362	0.0014	520	1849	1.0000	PASS	0.5000	1
mix_F2_into_F1	syn_F2-F1_f0.5_rep2	F2	F1	0.5000	0.5200	0.4700	0.5700	0.3269	0.3007	0.3537	0.0000	362	0.0014	519	1849	1.0000	PASS	0.5000	2
mix_F2_into_F1	syn_F2-F1_f0.5_rep3	F2	F1	0.5000	0.5200	0.4800	0.5700	0.3360	0.3097	0.3630	0.0000	362	0.0014	517	1849	1.0000	PASS	0.5000	3
mix_F2_into_F1	syn_F2-F1_f0.5_rep4	F2	F1	0.5000	0.5300	0.4800	0.5800	0.3410	0.3146	0.3680	0.0000	362	0.0014	520	1849	1.0000	PASS	0.5000	4
mix_F2_into_F1	syn_F2-F1_f0.5_rep5	F2	F1	0.5000	0.5400	0.5000	0.5900	0.3520	0.3254	0.3792	0.0000	362	0.0014	518	1849	1.0000	PASS	0.5000	5
mix_F2_into_M1	syn_F2-M1_f0.1_rep1	F2	M1	0.1000	0.0200	0.0000	0.0500	0.0000	0.0000	0.0000	1.0000	350	0.0009	504	12905	0.9293	PASS	0.1000	1
mix_F2_into_M1	syn_F2-M1_f0.1_rep2	F2	M1	0.1000	0.0200	0.0000	0.0500	0.0000	0.0000	0.0000	1.0000	350	0.0009	505	12905	0.9438	PASS	0.1000	2
