mixture	sample	component	role	host_known_pct	known_pct	est_pct	ci_lo	ci_hi	seed	qc
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	F2	host	0.1000	0.1000	0.1800			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	M1	donor	0.1000	49.9500	49.6700	49.1800	49.8500	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep1	M2	donor	0.1000	49.9500	50.1500	49.6600	50.3300	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	F2	host	0.1000	0.1000	0.0000			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	M1	donor	0.1000	66.6000	65.0000	64.9200	65.0000	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep1	M2	donor	0.1000	33.3000	35.0000	32.3000	35.0000	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	F2	host	0.1000	0.1000	0.1800			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	M1	donor	0.1000	49.9500	49.6600	49.1800	49.8500	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep2	M2	donor	0.1000	49.9500	50.1500	49.6700	50.3400	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	F2	host	0.1000	0.1000	0.1500			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	M1	donor	0.1000	66.6000	66.1500	65.7200	66.3000	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep2	M2	donor	0.1000	33.3000	33.7000	33.2700	33.8500	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	F2	host	0.1000	0.1000	0.1900			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	M1	donor	0.1000	49.9500	49.6600	49.1700	49.8400	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep3	M2	donor	0.1000	49.9500	50.1600	49.6700	50.3400	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	F2	host	0.1000	0.1000	0.1500			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	M1	donor	0.1000	66.6000	66.1700	65.7400	66.3200	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep3	M2	donor	0.1000	33.3000	33.6800	33.2500	33.8300	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	F2	host	0.1000	0.1000	0.1900			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	M1	donor	0.1000	49.9500	49.6500	49.1700	49.8400	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep4	M2	donor	0.1000	49.9500	50.1600	49.6700	50.3500	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	F2	host	0.1000	0.1000	0.0000			4	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	4	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep4	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	4	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep5	F2	host	0.1000	0.1000	0.1900			5	PASS
