mixture	sample	host	donor	known_pct	mle_pct	mle_ci_lo	mle_ci_hi	presence_pct	presence_ci_lo	presence_ci_hi	presence_p	presence_markers	contamination_frac	n_used	mean_depth	gof_pval	qc
mix_F1_into_F3	1_99_F1-F3_v2	F1	F3	1.0000	1.3600	1.1800	1.5800	0.8519	0.8165	0.8878	0.0000	330	0.0023	517	1941	0.0427	PASS
mix_F1_into_F3	1_79_F1-F3_v2	F1	F3	1.2500	1.7800	1.5600	2.0300	1.2997	1.2563	1.3438	0.0000	330	0.0028	529	1742	0.2520	PASS
mix_F1_into_F3	1_39_F1-F3_v2	F1	F3	2.5000	2.9800	2.6700	3.3400	2.4891	2.4313	2.5476	0.0000	325	0.0021	532	1530	0.7293	PASS
mix_F1_into_F3	1_19_F1-F3_v2	F1	F3	5.0000	5.3300	4.8600	5.8400	4.8250	4.7459	4.9048	0.0000	328	0.0016	547	1393	0.0102	PASS
mix_F1_into_F3	1_9_F1-F3_v2	F1	F3	10.0000	10.9400	10.3200	11.6000	10.4275	10.3251	10.5304	0.0000	330	0.0019	560	1600	1.0000	PASS
mix_F1_into_F3	F1	F1	F3		99.9500	99.8900	99.9900	99.0310	99.0205	99.0385	0.0000	330	0.0019	476	1793	0.0000	REVIEW
mix_F1_into_F3	F3	F1	F3		0.0000	0.0000	0.0400	0.0000	0.0000	0.0000	1.0000	327	0.0020	494	1685	1.0000	PASS
mix_F2_into_F1	1_99_F2-F1_v1	F2	F1	1.0000	1.4000	1.1500	1.6900	0.9023	0.8794	0.9255	0.0000	359	0.0017	508	4551	0.0000	PASS
mix_F2_into_F1	1_99_F2-F1_v2	F2	F1	1.0000	1.2600	1.1000	1.4500	0.9656	0.9275	1.0043	0.0000	358	0.0018	518	1627	0.1276	PASS
mix_F2_into_F1	1_79_F2-F1_v2	F2	F1	1.2500	1.3200	1.1200	1.5400	1.0409	0.9974	1.0852	0.0000	360	0.0009	517	1223	0.0000	PASS
mix_F2_into_F1	1_79_F2-F1_v1	F2	F1	1.2500	1.3600	1.1400	1.6300	1.0460	1.0236	1.0686	0.0000	360	0.0019	499	5212	1.0000	PASS
mix_F2_into_F1	1_39_F2-F1_v1	F2	F1	2.5000	1.9200	1.6300	2.2700	1.7544	1.7110	1.7984	0.0000	353	0.0020	519	1981	1.0000	PASS
mix_F2_into_F1	1_39_F2-F1_v2	F2	F1	2.5000	2.3100	2.0900	2.5500	2.0752	2.0256	2.1255	0.0000	355	0.0020	520	1677	1.0000	PASS
mix_F2_into_F1	1_19_F2-F1_v2	F2	F1	5.0000	5.3200	4.9200	5.7500	4.9736	4.9069	5.0409	0.0000	355	0.0024	565	1881	0.9655	PASS
mix_F2_into_F1	1_19_F2-F1_v1	F2	F1	5.0000	4.9400	4.3500	5.6300	4.2655	4.2112	4.3201	0.0000	353	0.0020	536	2555	0.0893	PASS
mix_F2_into_F1	1_9_F2-F1_v2	F2	F1	10.0000	9.8000	9.1900	10.4500	9.2448	9.1531	9.3371	0.0000	359	0.0017	570	1673	0.2927	PASS
mix_F2_into_F1	1_9_F2-F1_v1	F2	F1	10.0000	8.7400	7.9500	9.6100	8.3974	8.3288	8.4662	0.0000	359	0.0018	567	2807	1.0000	PASS
