patient	sample_id	run_accession	role	individual	known_minor_pct
mix_F1_into_F3	F3	SRR24309256	HOST	F3	
mix_F1_into_F3	F1	SRR24309257	DONOR	F1	
mix_F1_into_F3	1_99_F1-F3_v2	SRR24309261	ADMIX	F1	1
mix_F1_into_F3	1_79_F1-F3_v2	SRR24309162	ADMIX	F1	1.25
mix_F1_into_F3	1_39_F1-F3_v2	SRR24309170	ADMIX	F1	2.5
mix_F1_into_F3	1_19_F1-F3_v2	SRR24309177	ADMIX	F1	5
mix_F1_into_F3	1_9_F1-F3_v2	SRR24309185	ADMIX	F1	10
mix_F2_into_F1	F1	SRR24309257	HOST	F1	
mix_F2_into_F1	F2	SRR24309258	DONOR	F2	
mix_F2_into_F1	1_99_F2-F1_v2	SRR24309157	ADMIX	F2	1
mix_F2_into_F1	1_99_F2-F1_v1	SRR24309246	ADMIX	F2	1
mix_F2_into_F1	1_79_F2-F1_v1	SRR24309249	ADMIX	F2	1.25
mix_F2_into_F1	1_79_F2-F1_v2	SRR24309164	ADMIX	F2	1.25
mix_F2_into_F1	1_39_F2-F1_v2	SRR24309172	ADMIX	F2	2.5
mix_F2_into_F1	1_39_F2-F1_v1	SRR24309252	ADMIX	F2	2.5
mix_F2_into_F1	1_19_F2-F1_v1	SRR24309167	ADMIX	F2	5
mix_F2_into_F1	1_19_F2-F1_v2	SRR24309180	ADMIX	F2	5
mix_F2_into_F1	1_9_F2-F1_v1	SRR24309200	ADMIX	F2	10
mix_F2_into_F1	1_9_F2-F1_v2	SRR24309187	ADMIX	F2	10
mix_F2_into_M1	M1	SRR24309255	HOST	M1	
mix_F2_into_M1	F2	SRR24309258	DONOR	F2	
mix_F2_into_M1	1_199_F2-M1_v1	SRR24309243	ADMIX	F2	0.5
mix_F2_into_M1	1_99_F2-M1_v1	SRR24309248	ADMIX	F2	1
mix_F2_into_M1	1_79_F2-M1_v1	SRR24309251	ADMIX	F2	1.25
mix_F2_into_M1	1_39_F2-M1_v1	SRR24309263	ADMIX	F2	2.5
mix_F2_into_M1	1_19_F2-M1_v1	SRR24309189	ADMIX	F2	5
mix_F2_into_M1	1_9_F2-M1_v1	SRR24309222	ADMIX	F2	10
mix_F2_into_M2	M2	SRR24309254	HOST	M2	
mix_F2_into_M2	F2	SRR24309258	DONOR	F2	
