sample_id,bam_filename,sample_type
F1,/tau/data/chimerism/SRP434573/bam/SRR24309257.hg38.bam,HOST
F2,/tau/data/chimerism/SRP434573/bam/SRR24309258.hg38.bam,DONOR
1_99_F2-F1_v2,/tau/data/chimerism/SRP434573/bam/SRR24309157.hg38.bam,ADMIX
1_99_F2-F1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309246.hg38.bam,ADMIX
1_79_F2-F1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309249.hg38.bam,ADMIX
1_79_F2-F1_v2,/tau/data/chimerism/SRP434573/bam/SRR24309164.hg38.bam,ADMIX
1_39_F2-F1_v2,/tau/data/chimerism/SRP434573/bam/SRR24309172.hg38.bam,ADMIX
1_39_F2-F1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309252.hg38.bam,ADMIX
1_19_F2-F1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309167.hg38.bam,ADMIX
1_19_F2-F1_v2,/tau/data/chimerism/SRP434573/bam/SRR24309180.hg38.bam,ADMIX
1_9_F2-F1_v1,/tau/data/chimerism/SRP434573/bam/SRR24309200.hg38.bam,ADMIX
1_9_F2-F1_v2,/tau/data/chimerism/SRP434573/bam/SRR24309187.hg38.bam,ADMIX
